date	count	package
2023-04-20	6	ottrpal
2023-04-21	6	ottrpal
2023-04-22	5	ottrpal
2023-04-23	3	ottrpal
2023-04-24	11	ottrpal
2023-04-25	4	ottrpal
2023-04-26	13	ottrpal
2023-04-27	17	ottrpal
2023-04-28	3	ottrpal
2023-04-29	1	ottrpal
2023-04-30	2	ottrpal
2023-05-01	6	ottrpal
2023-05-02	4	ottrpal
2023-05-03	5	ottrpal
2023-05-04	1	ottrpal
2023-05-05	4	ottrpal
2023-05-06	8	ottrpal
2023-05-07	3	ottrpal
2023-05-08	55	ottrpal
2023-05-09	7	ottrpal
2023-05-10	11	ottrpal
2023-05-11	12	ottrpal
2023-05-12	13	ottrpal
2023-05-13	6	ottrpal
2023-05-14	3	ottrpal
2023-05-15	3	ottrpal
2023-05-16	14	ottrpal
2023-05-17	11	ottrpal
2023-05-18	10	ottrpal
2023-05-19	8	ottrpal
2023-05-20	33	ottrpal
2023-05-21	4	ottrpal
2023-05-22	8	ottrpal
2023-05-23	8	ottrpal
2023-05-24	27	ottrpal
2023-05-25	9	ottrpal
2023-05-26	10	ottrpal
2023-05-27	4	ottrpal
2023-05-28	5	ottrpal
2023-05-29	6	ottrpal
2023-05-30	7	ottrpal
2023-05-31	4	ottrpal
2023-06-01	23	ottrpal
2023-06-02	13	ottrpal
2023-06-03	3	ottrpal
2023-06-04	8	ottrpal
2023-06-05	3	ottrpal
2023-06-06	4	ottrpal
2023-06-07	3	ottrpal
2023-06-08	13	ottrpal
2023-06-09	5	ottrpal
2023-06-10	5	ottrpal
2023-06-11	6	ottrpal
2023-06-12	20	ottrpal
2023-06-13	4	ottrpal
2023-06-14	5	ottrpal
2023-06-15	6	ottrpal
2023-06-16	8	ottrpal
2023-06-17	5	ottrpal
2023-06-18	4	ottrpal
2023-06-19	2	ottrpal
2023-06-20	8	ottrpal
2023-06-21	11	ottrpal
2023-06-22	8	ottrpal
2023-06-23	6	ottrpal
2023-06-24	16	ottrpal
2023-06-25	8	ottrpal
2023-06-26	7	ottrpal
2023-06-27	12	ottrpal
2023-06-28	20	ottrpal
2023-06-29	19	ottrpal
2023-06-30	11	ottrpal
2023-07-01	10	ottrpal
2023-07-02	6	ottrpal
2023-07-03	11	ottrpal
2023-07-04	9	ottrpal
2023-07-05	16	ottrpal
2023-07-06	10	ottrpal
2023-07-07	14	ottrpal
2023-07-08	8	ottrpal
2023-07-09	4	ottrpal
2023-07-10	8	ottrpal
2023-07-11	6	ottrpal
2023-07-12	13	ottrpal
2023-07-13	5	ottrpal
2023-07-14	6	ottrpal
2023-07-15	4	ottrpal
2023-07-16	5	ottrpal
2023-07-17	11	ottrpal
2023-07-18	12	ottrpal
2023-07-19	11	ottrpal
2023-07-20	8	ottrpal
2023-07-21	25	ottrpal
2023-07-22	6	ottrpal
2023-07-23	4	ottrpal
2023-07-24	4	ottrpal
2023-07-25	11	ottrpal
2023-07-26	13	ottrpal
2023-07-27	7	ottrpal
2023-07-28	6	ottrpal
2023-07-29	3	ottrpal
2023-07-30	3	ottrpal
2023-07-31	4	ottrpal
2023-08-01	8	ottrpal
2023-08-02	7	ottrpal
2023-08-03	8	ottrpal
2023-08-04	9	ottrpal
2023-08-05	3	ottrpal
2023-08-06	6	ottrpal
2023-08-07	7	ottrpal
2023-08-08	14	ottrpal
2023-08-09	11	ottrpal
2023-08-10	5	ottrpal
2023-08-11	6	ottrpal
2023-08-12	2	ottrpal
2023-08-13	2	ottrpal
2023-08-14	7	ottrpal
2023-08-15	8	ottrpal
2023-08-16	19	ottrpal
2023-08-17	10	ottrpal
2023-08-18	8	ottrpal
2023-08-19	7	ottrpal
2023-08-20	7	ottrpal
2023-08-21	4	ottrpal
2023-08-22	3	ottrpal
2023-08-23	11	ottrpal
2023-08-24	8	ottrpal
2023-08-25	7	ottrpal
2023-08-26	6	ottrpal
2023-08-27	4	ottrpal
2023-08-28	4	ottrpal
2023-08-29	5	ottrpal
2023-08-30	11	ottrpal
2023-08-31	6	ottrpal
2023-09-01	5	ottrpal
2023-09-02	3	ottrpal
2023-09-03	6	ottrpal
2023-09-04	7	ottrpal
2023-09-05	7	ottrpal
2023-09-06	6	ottrpal
2023-09-07	6	ottrpal
2023-09-08	4	ottrpal
2023-09-09	4	ottrpal
2023-09-10	7	ottrpal
2023-09-11	5	ottrpal
2023-09-12	5	ottrpal
2023-09-13	4	ottrpal
2023-09-14	4	ottrpal
2023-09-15	19	ottrpal
